"type","rank","representative_id","representative","topic","tags","cluster_size","total_source_count","total_same_question_count","answered_count","member_samples"
"strict","1","928613d5-2a4c-4c4e-8785-057f10c3dea7","负重引体向上训练中，如何有效突破瓶颈？请提供具体的训练方法、周期安排、组数次数调整以及辅助训练建议。","街头健身","街头健身/引体向上/负重引体/新手入门/训练计划/双力臂","231","266","0","0","我练一年也做不了引体向上，该怎么办？ | 练了半年一个引体向上都做不了，该怎么办？ | 我练引体向上一年了还拉不上去，应该怎么训练？ | 引体向上卡在22个上不去，如何突破？ | 引体向上数量卡在10-11个如何突破瓶颈？ | 引体向上从10个提升到20个后卡住了，如何突破瓶颈？ | 如何让引体向上更多背部发力，练出背部肌肉形态？ | 引体向上时如何找到背部发力感觉？"
"strict","2","4ee69ff1-7468-478a-881d-72e6301fa5c6","如何从ENTP转变为其他类型（如ENTJ）？","个人成长","个人成长/MBTI","25","27","0","0","如何从内向人格（如INFJ）转变为外向人格（如ENTJ）？人格类型真的可以改变吗？ | 如何从INFP人格类型向ENTJ转变？ | 如何从P型人格（如INFP）转变成J型人格（如ENTJ）？ | 为什么我的MBTI一直是ENTP，只有在压力下才变成ENTJ？正常吗？如何改变？ | 一直是ENTP人格，只有DDL压力下才临时变成ENTJ，这是正常的吗？如何改变？ | 我一直是ENTP，只有在截止日期压力下才会暂时变成ENTJ，平时没有重大心理变化，这是正常的吗？如何改变或提升自己？ | 从INFP变成ENTJ是真的可能吗？ | 如何从ENTP转变为其他类型（如ENTJ）？"
"strict","3","0123f678-4b76-404e-9bd5-546d9beeac3a","负重引体对双力臂有用吗？","街头健身","街头健身/引体向上/负重引体/双力臂","24","24","0","0","负重引体对双力臂有用吗？ | 负重引体对前水平和单臂引体向上的帮助大不大？ | 如果不练双力臂，只练负重引体可以吗？ | 负重引体向上对提升双力臂有大的帮助吗？ | 负重双力臂训练对单引体向上有帮助吗？ | 多练负重引体向上对做双力臂有帮助吗？ | 暂停负重引体和借力负重引体，哪个训练效果更好？ | 负重引体向上和高位下拉哪个训练效果更好？"
"strict","4","b6551ca2-f724-4bf0-8e69-932009edc564","负重引体训练后应该休息几天？","街头健身","街头健身/引体向上/负重引体/训练计划","22","22","0","0","负重引体向上是每组做一个还是做多组？ | 负重引体向上一般多少个一组、做几组之后可以增加重量？ | 负重引体向上每次训练应该练几组？ | 负重引体向上的正式组应该做几组？ | 用负重引体向上增肌，每组应该做多少次比较好？ | 负重引体向上一般训练容量（组数、次数）多少比较合适？ | 负重引体用几组几次的练法涨上去的？ | 负重引体一次训练一般练几组，练多久？"
"strict","5","21a1dd5e-c152-4dd7-a1cf-36d56ca8283b","如何纠正引体向上中的姿势错误和不平衡（如肩胛发力、左右不对称、肩膀卡住）？","街头健身","街头健身/引体向上","20","23","0","0","如何改善训练中左右两侧力量不平衡的问题？ | 如何改善引体向上中左右手力量不平衡的问题？ | 引体向上向上拉时，身体为什么会向右倾斜？如何纠正？ | 做引体向上时身体歪斜是什么原因？如何改善？ | 如何纠正引体向上中的姿势错误和不平衡（如肩胛发力、左右不对称、肩膀卡住）？ | 如何矫正引体向上发力不平均的问题？ | 引体向上时身体不对称（一侧耸肩、肩膀高低不同）的原因和纠正方法？ | 做引体向上时肩膀一边高一边低是什么原因？应该如何纠正？"
"strict","6","7a436507-bf0d-4ebf-a941-6c7ffc1df857","如何练习双力臂？","街头健身","街头健身/双力臂/自媒体创业","18","29","0","0","反手宽距双力臂有什么技巧？ | 反手双力臂的发力技巧是什么？ | 反手双力臂怎么做？ | 反手双力臂有什么诀窍？ | 反手双力臂怎么样？ | 反手双力臂这个动作怎么做？ | 如何练反手双力臂？ | 如何训练才能做出双力臂？"
"strict","7","c5b94566-a6e3-4e97-9824-4254ff4e2cad","高位引体和双力臂有什么区别？","街头健身","街头健身/引体向上/双力臂","17","19","0","0","引体向上正手和反手哪个更难？ | 正手引体向上和反手引体向上哪个更难？ | 引体向上正手和反手有什么区别？推荐以哪个为主项？ | 引体向上和双力臂哪个更难？ | 单臂引体向上和高位引体向上哪个难度更高？ | 单手引体向上中，正手握、侧手握、反手握哪种更容易？ | 单手引体向上中，哪种握法最容易？ | 正手、反手、侧握引体向上哪种最省力？"
"strict","8","329f86c0-529d-4350-804e-c020f2b9b9ff","为什么我能做二十多个过头引体，但双力臂却做不了十个？","街头健身","街头健身/引体向上/双力臂/新手入门/负重引体/读博学习","16","16","0","0","能做15个引体向上但做不了双力臂，是什么原因？如何练习？ | 为什么引体向上能做很多但双力臂却做不了？如何提高双力臂的技巧？ | 为什么我能做高位引体拉到肋骨最后一根，也能做25个引体向上，但双力臂还是上不去？ | 为什么我引体向上能做15个（145斤，176cm，体脂20.6%）却做不了双力臂？ | 我能拉20个引体向上，但为什么做不了一个双力臂？如何突破？ | 为什么我能做二十多个过头引体，但双力臂却做不了十个？ | 引体向上能做20个，负重30多斤能做10个，身高175体重134斤，为什么还是做不了双力臂？是因为引体数量不够吗？ | 为什么能做多个双力臂却做不了一个高位引体？如何训练高位引体？"
"strict","9","ca0e18f4-5c61-4fee-9e4f-f76c370e5678","如何学会双力臂？","街头健身","街头健身/双力臂/新手入门/读博学习","12","21","0","0","双力臂怎么做？我只能做单力臂。 | 如何学会双力臂？ | 双力臂一个都做不了，该如何训练？ | 一个双力臂都做不了，怎么办？ | 一个双力臂都做不了，求训练方法 | 双力臂一个都做不了，该如何开始训练？ | 一个双力臂都做不起来，该怎么开始训练？ | 如何从零开始学习双力臂？"
"strict","10","76e71944-93d2-45f6-b019-f3d6ff96c6ac","为什么我做不了引体向上？如何改进？","街头健身","街头健身/引体向上/新手入门","13","13","0","0","为什么可以做很多俯卧撑但引体向上做不了几个？如何提高引体向上？ | 为什么我做不了引体向上？如何改进？ | 我连一个引体向上都做不了，如何能做一个引体向上？ | 至今一个引体向上都做不了，该怎么练？ | 为什么我一个引体向上都做不了？如何从零开始训练？ | 引体向上一个都做不了，如何从零开始训练？ | 为什么我辅助练了两个月引体向上还是上不去？如何改进？ | 为什么我练习引体向上很久了，还是拉不上去？应该如何训练才能提升？"
