competency_id,dimension,competency_name,prerequisites,core_modules,track_modules,assessment_evidence,current_status,priority
M01,AI心智模型,系统构件辨析,BRG-00,CORE-01|SYS-04,DEV-03|PROD-03,卡片排序|架构解释,可复用原型,P0
M02,AI心智模型,生成机制与不确定性,M01,CORE-01|CORE-02|CORE-08,RES-02|CON-01,误解诊断|幻觉实验,可复用原型,P0
M03,AI心智模型,上下文记忆与知识边界,M01|T01,CORE-04|CORE-11|CORE-13,RES-02|DEV-03,状态恢复实作,需要新建,P0
M04,AI心智模型,能力成本与选择权衡,M01|F01,CORE-07|CORE-14|SYS-01|SYS-04,OFF|RES|CON|PROD|DEV,选型情境|对比实验,可复用原型,P1
M05,AI心智模型,人机分工与责任,M02|F01|V04,CORE-02|CORE-06|CORE-15|ORG-02,OFF|RES|CON|PROD|DEV,高风险情境答辩,可复用原型,P0
F01,任务定义与沟通,问题与结果定义,None,CORE-03|CORE-05|SYS-01,OFF-01|RES-01|CON-01|PROD-01|DEV-01,任务重写开放题,可复用原型,P0
F02,任务定义与沟通,任务拆解与委派,F01|M05,CORE-06|CORE-11|SYS-02,OFF-02|RES-02|PROD-02|DEV-01,任务树|分工理由,可复用原型,P1
F03,任务定义与沟通,上下文与约束表达,F01|T01,CORE-03|CORE-06|CORE-11,OFF|RES|CON|PROD|DEV,陌生任务提示实作,可复用原型,P1
F04,任务定义与沟通,迭代追问与状态管理,F03|M03,CORE-06|CORE-11|SYS-02,RES-02|PROD-02|DEV-01,长任务接力实作,原型需增强,P1
F05,任务定义与沟通,验收标准与交付定义,F01|V02,CORE-03|CORE-05|CORE-08|CORE-15,OFF|RES|CON|PROD|DEV,先标准后生成盲评,需要新建,P0
T01,工具与信息素养,数字操作与账户基础,None,BRG-00|BRG-01,OFF|RES|CON|PROD|DEV,文件包提交实作,需要新建,P0
T02,工具与信息素养,工具与模型选型,M01|F01,CORE-07|CORE-14,OFF|RES|CON|PROD|DEV,陌生工具选型情境,可复用原型,P1
T03,工具与信息素养,搜索检索与来源,BRG-02|M02,CORE-04|CORE-12,RES-01|RES-02|CON-01|PROD-01,主张证据表,需要新建,P0
T04,工具与信息素养,多模态数据与工作区,T01|F03,CORE-07|CORE-12|CORE-13,OFF-02|CON-02|DEV-01,多材料工作区实作,可复用原型,P1
T05,工具与信息素养,集成权限与资源成本,T01|V03,BRG-01|CORE-07|CORE-09|SYS-03,OFF-03|RES-03|CON-03|PROD-03|DEV-03,错误配置修复|权限表,案例待系统化,P1
V01,核验安全与责任,事实与来源核验,M02|T03,CORE-02|CORE-04|CORE-08|CORE-12,RES-02|CON-01|OFF-02,假引用识别|证据链,可复用原型,P0
V02,核验安全与责任,逻辑质量与偏差审查,F05|领域基础,CORE-08|CORE-12|SYS-05,OFF|RES|CON|PROD|DEV,rubric盲评|红队,原型需增强,P0
V03,核验安全与责任,隐私保密与知识产权,T01,CORE-02|CORE-09|SYS-03|SYS-06|ORG-02,OFF|RES|CON|PROD|DEV,上传决策情境,可复用原型案例,P0
V04,核验安全与责任,风险分级与人工监督,M05|F05,CORE-02|CORE-15|SYS-03|SYS-06|ORG-04,OFF-03|RES-03|PROD-03|DEV-03,风险分级|事故演练,需要新建,P0
V05,核验安全与责任,溯源披露与安全对抗,T05|V03|S02,CORE-09|CORE-15|SYS-05|SYS-06|ORG-04,CON-03|DEV-03|RES-03,注入红队|审计包,案例需课程化,P2
C01,创造与执行,内容与表达产出,F03|F05|V02,CORE-05|CORE-08,CON-01|CON-02|OFF-01,发布前作品包,可复用原型案例,P1
C02,创造与执行,领域任务交付,F01|F02|F03|F04|F05|V01|V02,CORE-05|CORE-12,OFF|RES|CON|PROD|DEV,真实用户验收,可复用原型案例,P1
C03,创造与执行,原型与实现,F02|T04|V02,CORE-05|SYS-02,PROD-02|DEV-01|DEV-02|OFF-03,可运行原型|测试,案例需双路径课程,P2
C04,创造与执行,模板知识与复用资产,C02|F05,CORE-10|CORE-13|ORG-03,OFF-02|RES-02|CON-02|PROD-02|DEV-02,第二人复用测试,可复用原型案例,P1
C05,创造与执行,效果测量与迭代,C02|F05,CORE-14|SYS-01|SYS-05|ORG-01,OFF-03|RES-03|CON-03|PROD-03|DEV-03,基线结果对比报告,需要新建,P1
S01,工作流与系统思维,流程发现与价值定位,C02|C05|M05,CORE-10|CORE-14|SYS-01|ORG-01,OFF-03|RES-03|CON-03|PROD-03|DEV-03,流程观察|价值评分,案例需方法课,P2
S02,工作流与系统思维,工作流状态与交接设计,F02|F05|C04,CORE-10|CORE-11|SYS-02|SYS-06,OFF-03|CON-03|DEV-03,流程图|失效演习,可复用原型案例,P1
S03,工作流与系统思维,Agent与工具编排,M01|M04|S02|T05,SYS-03|SYS-04|SYS-06,PROD-03|DEV-03,架构答辩|运行系统,可复用案例,P2
S04,工作流与系统思维,评测可观测性与可靠性,F05|V01|V02|S02,CORE-14|SYS-05|SYS-06|ORG-04,OFF-03|RES-03|CON-03|PROD-03|DEV-03,Eval包|运行记录,案例需系统化,P2
S05,工作流与系统思维,采用治理与变革,M05|C05|V04|V05|S04,ORG-01|ORG-02|ORG-03|ORG-04|ORG-05,组织场景,90天方案|真实采用证据,需要新建,P3
